Commodity,F,G,H,J,K,M,N,Q,U,V,X,Z
NG,H0,H0,K0,K0,N0,N0,U0,U0,X0,X0,F1,F1
CL,H0,H0,K0,K0,N0,N0,U0,U0,X0,X0,F1,F1
CO,H0,K0,K0,N0,N0,U0,U0,X0,X0,F0,F1,H1
XB,H0,H0,K0,K0,N0,N0,U0,U0,X0,X0,F0,F1
HO,H0,H0,K0,K0,N0,N0,U0,U0,X0,X0,F0,F1
LC,G0,J0,J0,M0,M0,Q0,Q0,V0,V0,Z0,Z0,G1
LH,G0,J0,J0,M0,M0,N0,Q0,V0,V0,Z0,Z0,G1
ZW,H0,H0,K0,K0,N0,N0,U0,U0,Z0,Z0,Z0,H1
KW,H0,H0,K0,K0,N0,N0,U0,U0,Z0,Z0,Z0,H1
ZC,H0,H0,K0,K0,N0,N0,U0,U0,Z0,Z0,Z0,H1
ZS,H0,H0,K0,K0,N0,N0,X0,X0,X0,X0,F0,F1
BO,H0,H0,K0,K0,N0,N0,Z0,Z0,Z0,Z0,F0,F1
SM,H0,H0,K0,K0,N0,N0,Z0,Z0,Z0,Z0,F0,F1
LA,H0,H0,K0,K0,N0,N0,U0,U0,X0,X0,F0,F1
HG,H0,H0,K0,K0,N0,N0,U0,U0,Z0,Z0,Z0,H1
LX,H0,H0,K0,K0,N0,N0,U0,U0,X0,X0,F0,F1
LN,H0,H0,K0,K0,N0,N0,U0,U0,X0,X0,F0,F1
LL,H0,H0,K0,K0,N0,N0,U0,U0,X0,X0,F0,F1
GC,G0,J0,J0,M0,M0,Q0,Q0,Z0,Z0,Z0,Z0,G1
SI,H0,H0,K0,K0,N0,N0,U0,U0,Z0,Z0,Z0,H1
SB,H0,H0,K0,K0,N0,N0,V0,V0,V0,H1,H1,H1
CT,H0,H0,K0,K0,N0,N0,Z0,Z0,Z0,Z0,Z0,H1
KC,H0,H0,K0,K0,N0,N0,U0,U0,Z0,Z0,Z0,H1
LG,H0,H0,K0,K0,N0,N0,U0,U0,X0,X0,F0,F1
