word	frq
op	194
uit	172
aan	155
af	111
in	99
toe	38
om	31
door	28
over	22
open	20
thuis	19
neer	18
dicht	17
na	17
weg	17
heen	16
voor	16
los	15
terug	15
mee	14
bij	12
vast	12
achter	9
beet	9
kwijt	7
on	7
binnen	6
tekort	6
dood	5
lief	5
mis	5
stil	5
waar	5
langs	4
plat	4
dwars	3
eruit	3
hoog	3
onder	3
plaats	3
terecht	3
voorbij	3
achterna	2
achteruit	2
bekend	2
bloot	2
bot	2
overhoop	2
prijs	2
schoon	2
vooruit	2
wijs	2
actie	1
bezig	1
blijk	1
buiten	1
dienst	1
donder	1
gelijk	1
glad	1
goed	1
ineen	1
klap	1
klem	1
kort	1
kwalijk	1
leeg	1
licht	1
pot	1
rad	1
recht	1
schoot	1
schuil	1
sla	1
slab	1
slip	1
stand	1
teleur	1
teloor	1
teweeg	1
vandaan	1
veilig	1
vlees	1
vol	1
voort	1
vrij	1
weer	1
wel	1
zacht	1
zij	1
	0
