word	frq
op	1743
aan	790
uit	771
mee	644
weg	611
af	456
in	354
neer	288
om	283
vast	239
voor	219
terug	186
open	142
door	131
dicht	115
schoon	85
na	75
over	70
klaar	53
gelijk	44
los	44
kapot	38
binnen	37
toe	30
thuis	27
bij	25
dood	22
eruit	21
samen	20
heen	20
tegen	18
rond	16
voorbij	12
verder	11
hard	11
kwijt	10
leeg	9
droog	8
mis	8
langs	8
goed	8
terecht	7
auto	7
vinger	5
recht	5
onder	5
vol	5
stil	4
plat	4
nat	4
paard	3
achterna	3
beet	3
stuk	3
dat	2
fout	2
stop	2
les	2
punt	2
voorop	2
stoel	2
achter	2
uil	2
aal	2
zwemmen	2
sinaasappel	2
bel	1
volume	1
plak	1
cross	1
ruimte	1
feest	1
mandarijn	1
ziek	1
haal	1
vrij	1
krul	1
schets	1
val	1
dwars	1
gras	1
para	1
donder	1
krom	1
klem	1
verkeer	1
dier	1
thee	1
kip	1
overeen	1
plaat	1
kleur	1
frank	1
vet	1
zeep	1
sikkel	1
dubbel	1
kaart	1
lieveling	1
	0
