;event_type;event_id;publisher;publisher_id;coordinates.dec;coordinates.ra;detection_time;priority;params.redshift;params.distance;params.radius;params.remarks
steady1;Steady GC;Galactic center;TeVCat;steady1;-29d00m36s;266d24m36s;2023-01-01T00:00:00.000;0;;8 kpc;;steady
steady2;Steady Galaxy ;LMC;n/a;steady2;-69d45m36s;80d53m24s;2023-01-01T00:00:00.000;0;0.000875;50 kpc;;steady
steady3;Steady hotspot;Old TA Hotspot;n/a;steady3;40d30m00s;144d00m00s;2023-01-01T00:00:00.000;0;;;25;steady
steady4;Steady hotspot;New TA Hotspot;n/a;steady4;36d00m00s;17d24m00s;2023-01-01T00:00:00.000;0;;;20;steady
steady5;Steady Starburst;IC 342;n/a;steady5;68d06m00s;56d42m00s;2023-01-01T00:00:00.000;0;0.000077;;;steady
steady6;Steady Starburst;M 83;n/a;steady6;-29d52m12s;204d15m00s;2023-01-01T00:00:00.000;0;0.001733;;;steady
steady7;Steady Starburst;M 82;n/a;steady7;69d40m48s;148d58m12s;2023-01-01T00:00:00.000;0;0.00073;;;steady
steady8;Steady Seyfert;NGC 1068;n/a;steady8;-0d00m04.68s;40d40m12s;2023-01-01T00:00:00.000;0;0.00381;;;steady
steady9;Steady Seyfert;Circinus;n/a;steady9;-65d20m24s;213d18m00s;2023-01-01T00:00:00.000;0;;;;steady
steady10;Steady Seyfert;NGC 4945;n/a;steady10;-49d28m12s;196d21m36s;2023-01-01T00:00:00.000;0;0.001797;;;steady
steady11;Steady Seyfert;NGC 253;n/a;steady11;-25d17m24s;11d53m24s;2023-01-01T00:00:00.000;0;0.000864;;;steady
steady12;Steady Seyfert;Cen A;n/a;steady12;-43d01m12s;201d21m36s;2023-01-01T00:00:00.000;0;0.001826;;;steady
steady13;Steady Blazar;Mrk 421;WEBT;steady13;38d12m36s;166d06m36s;2023-01-01T00:00:00.000;0;0.030021;;;steady
steady14;Steady Blazar;Mrk 501;WEBT;steady14;39d45m36s;253d28m12s;2023-01-01T00:00:00.000;0;0.033663;;;steady
steady15;Steady Blazar;3C 371;WEBT;steady15;69d49m12s;271d42m36s;2023-01-01T00:00:00.000;0;0.051;;;steady
steady16;Steady Blazar;BL Lacertae;WEBT;steady16;42d16m48s;330d40m48s;2023-01-01T00:00:00.000;0;0.0686;;;steady
steady17;Steady Blazar;1ES 2344+514;WEBT;steady17;51d42m00s;356d46m12s;2023-01-01T00:00:00.000;0;0.044;;;steady
steady18;Steady HBL;H 1426+428;TeVCat;steady18;42d40m12s;217d08m24s;2023-01-01T00:00:00.000;0;0.129;;;steady
steady19;Steady HBL;1ES 1959+650;TeVCat;steady19;65d09m00s;300d00m00s;2023-01-01T00:00:00.000;0;0.048;;;steady
steady20;Steady HBL;1ES 1440+122;TeVCat;steady20;12d00m00s;220d48m36s;2023-01-01T00:00:00.000;0;0.163058;;;steady
