Cat	Hot	Loc	Prop	Par	Amis	Tent	VVF	Div
Agri	160	28	0	321	36	141	45	65
SalAgri	35	34	1	178	8	0	4	0
Pat	700	354	229	959	185	292	119	140
CadSup	961	471	633	1580	305	360	162	148
CadMoy	572	537	279	1689	206	748	155	112
Emp	441	404	166	1079	178	424	178	92
Ouv	783	1114	387	4042	497	1464	525	387
PersServ	65	43	21	294	79	57	18	6
AutAct	77	60	189	839	53	124	28	53
nonAct	741	332	327	1789	311	236	102	102
