Site	abs.f420.5	Alk	Altitude	ARO_uppstream	pH	TOC	Tot.N_ps	TP	Turbidity	LC_Urban
K1_08	0.188344887994579	0.502464656400072	1.02667203119905	1.6068606898301	7.2	2.66345331616902	7.54210741303158	65.5	2	2.5
K2_08	0.380489122037987	0.423305026236495	1.02667203119905	1.60309852870769	7.2	3.11577128110961	7.48211892355212	81.2	4	2.3
K3_08	0.200654392938475	0.407463110770838	0.526589034139045	1.42479376158156	6.6	2.64382149760673	7.36480030706348	58.6	3	0.7
K5_08	0.363253259298855	0.206200830583898	1.02667203119905	1.79540363557322	7	3.04319718354466	7.00470048503862	37.9	3	0.5
K6_08	0.332177312338332	0.152721087017664	1.39736348117304	2.03327864484219	6.9	3.03495298670727	6.93420244899699	31	2	0.9
K7_08	0.423305026236495	0.154436353304419	1.59570923040387	1.88336130335392	6.8	3.47506723022861	7.23294987569369	31	2	1.1
I02_07	0.104360015324243	1.73130150019094	1.25081978247535	1.21498506859387	8.2	2.43518006562227	8.8495139654864	89.3	2	0
I03_07	0.0916671885258239	1.69396286750379	1.39736348117304	1.79725250301159	8	2.36961056509953	8.28621906098684	21.3	2	0.2
I04_07	0.0817717330263541	1.29461496136475	1.21498506859387	1.70144664292775	7.68179589285713	2.41352285510526	7.26398037508783	53.7904879807693	2	0.3
I05_07	0.0797739664376398	0.951139385462748	1.17248659547825	1.48857026563091	7.62561558035716	2.46332862693682	7.03875257599684	40.1833722222223	2	0
I06_07	0.0787351352244445	1.37640176745406	0.462341011799065	1.434768550982	7.64172854166665	2.38434308929133	7.75852349642273	61.4474770833333	3	0.8
I07_07	0.1016536537265	1.74064159804944	1.02667203119905	1.9705786816917	8.1	2.48398928890545	8.25997565976828	50.8	2	0
I08_07	0.130101689786838	1.59571924029316	1.53700876684845	1.67274658269816	8.4875	2.52994338127026	8.41581711252228	39.0625	2	0
I09_07	0.128393214768399	1.71811292905976	1.1947055233183	1.62549265102218	8.1	2.7418317558479	7.43826587606453	24.6	2	0
I10_07	0.12751332029896	1.65364616709842	0.951362544505703	1.20937078612125	8.2	2.61251398649468	7.10274623887675	12	2	0
I11_07	0.111541374732907	1.73993972049826	0.78569102324889	1.78566488266791	8.3	2.47422077081306	8.36557929124095	147.1	2	1
I13_07	0.084341148433751	1.75336508124074	1.56531665505968	1.62281126712687	8.2	2.24552419922697	7.83296610823085	31.6	2	0
I15_07	0.0852598439508234	1.78019283285659	1.15878230575197	1.02063357620834	8.3	2.5515735860604	8.39538707400794	56.1	2	7.4
I01_08	0.0764197681311118	1.78842056796254	1.00812804273146	1.55504208953171	8.4	2.33618499572708	8.26098914842931	49	3	0.7
I16_08	0.0629121993929871	1.38553049653294	1.29943611965404	1.69383338711235	7.73339437499996	2.3358126659617	7.92890790622368	69.5416249999999	2	0
I17_08	0.167857841692131	1.21287881531441	1.52959541632736	1.59004932949083	7.48608239583334	2.74009421802187	7.2679249293148	62.4583629807694	2	0
O1_07	0.249696959266726	0.160797803972519	1.77496524973174	1.4515128711338	6.64090909090909	2.58296786296421	6.67456139181443	13.9090909090909	2	0
O2_07	0.0898407039997895	0.104360015324243	1.58334052083969	1.23615351646328	6.7	2.31904237652629	6.55495370480439	22.952018001443	2	0
O3_07	0.235862323721984	0.139761942375159	1.74679669969929	1.31050618620479	6.8	2.67247335527899	6.39549902123608	12.7351825757575	2	0
O4_07	0.12751332029896	0.215111379616945	1.67618086712836	0.741276311375015	7.1	2.33333838881784	6.61825713625032	26.1081054473304	2	0
O5_07	0.157003748809665	0.165514438477573	1.73353075803763	1.0016484949026	6.8	2.35565425656178	6.29404182070176	10.6615015151515	2	0.1
O6_07	0.12575120530556	0.122217632724249	1.80706219195458	1.51941094507849	6.7	2.64262239577975	5.80513496891649	4.09090909090909	2	0
O7_07	0.151862349309246	0.0953101798043249	1.72135219552419	0.707848296256166	6.5	2.45574249087365	6.66190339665059	23.7169227994228	2	0
O8_08	0.151862349309246	0.122217632724249	1.78867968375389	1.25317315628234	6.7	2.34807635650439	6.37248551106049	9.68401893939394	2	0
O10_08	0.144100343973757	0.118671529717499	1.43670303470887	1.24603708612156	6.9	2.3553002283592	6.54861837834213	26.4976071428571	3	0.2
O11_08	0.0865575561052274	0.544446678313823	1.24603708612156	1.27329704536192	7.43320106060606	2.40199469907384	6.81824942974557	29.2637956349206	2	0.8
O12_08	0.131028262406404	0.19062035960865	1.68001624875289	1.3839715985269	7	2.32221482103877	6.52629664568663	13.1528696969697	2	0.1
O18_08	0.0998453349697161	0.113328685307003	1.77796285610022	1.27961483899895	6.9	2.22343857453206	5.7543425002679	6.86037045454547	2	0
O21_08	0.302401055691412	0.322083499169113	1.35850472064663	1.84611054594505	7.3	2.79871350288022	6.93828448401696	41.8	2	0.3
O22_08	0.15785808461558	0.282490045749356	0.65039140701146	1.90157337185878	7.25714285714286	2.2023042465363	7.11348195323353	39.5833333333333	2	4.5
O23_08	0.191964094330453	0.518793793415168	1.21219510867956	1.74831809719495	7.5	2.65568875460989	6.90575327631146	58.5	3	6.9
O24_08	0.180258875372989	0.885809642372025	0.581353438428692	1.5794472551672	7.45680322916668	2.6520386160337	7.14124512235049	110	3	1.3
O25_08	0.17730901497041	0.19062035960865	1.17248659547825	1.72062574116234	7.2	2.61274443398656	6.81678231982333	54.0939029761906	3	0.2
O27_08	0.322083499169113	0.95743267520533	1.82421768746362	1.77216188686853	7.7	3.11351530921037	7.06416055814627	31	2	0
O28_08	0.168933129050421	1.18296122404049	1.76851392045601	1.55403114378505	7.53806416666666	2.82239471677951	7.3392532177183	57.3163264423079	2	2.7
O29_08	0.194121592279894	0.452560268921416	1.67520724613102	1.53248345167838	7.07010416666667	2.62542908621307	6.82237275650661	59.8033916666668	3	0
O30_08	0.192523861456755	0.340773872664855	1.50330099800484	1.67690715616742	6.99468051587305	2.69040568626236	6.92641100701065	77.1666666666667	3	0.9
O31_08	0.177914334439581	0.600777167678035	1.46934541882135	1.26234457903371	7.272536875	2.645490404019	7.05750623706989	78.4546645833333	2	0.3
O32_08	0.141860887116984	0.920037737272321	1.59330673681914	1.58075490568411	7.47520119273089	2.47505125499464	8.03749845606236	78.1457583333332	2	1.5
O34_08	0.209329127173514	0.655406355511542	1.74846938211866	1.53644938169215	7.31067323232325	2.75449009989146	7.34777632682962	61.650978311966	2	1.5
O35_08	0.119064917398505	1.75510554848725	1.58205261438629	1.51567363952557	7.96610958333333	2.31428059981136	8.78100850004566	110.770725	2	0
O36_08	0.19257028234192	0.576316051274822	1.66117474394392	1.55654760055417	7.34280857142861	2.68769624327985	7.18143614033306	59.3693895833335	2	4.2
O37_08	0.177384708045635	0.677960977104793	1.5718423957831	1.70850485029819	7.31110101010101	2.65418850397789	7.51545447799449	81.4585	2	0.3
O38_08	0.173112617708645	0.258510695151501	1.59451225910557	1.53644938169215	6.81666666666667	2.55594053883268	6.62911612911347	34.3333333333333	2	1.1
O40_08	0.290402600599756	0.527042685576556	1.66117474394392	1.59004932949083	7.13526250000001	2.86535210109192	7.27811339652132	122.427933333334	2	0.4
O41_08	0.140376572292067	1.01307419029383	1.59209254924061	1.66999486272976	7.51260756268038	2.42056035259846	8.54211363496174	104.257160416667	3	0
O42_08	0.290900806408207	0.627284659511666	1.60981058486869	1.52665976378072	7.25643552083334	2.8568646338225	7.4176873236252	131.065975	2	0
O45_08	0.158791405188689	0.605377963944024	1.63580040324541	1.43956870034789	7.33962411255412	2.66209786003649	7.13850780845986	76.1427937500001	2	2
O48_08	0.185119207178417	0.525700443061167	1.68831768711999	1.57411433990374	7.22544880952383	2.69448483999777	7.01914536021948	71.5	3	0
O49_08	0.385896326801215	0.0790946430176159	1.62281126712687	1.51567363952557	6.21944090909092	3.10081800146112	6.63064926017004	26.8837880952381	2	0
LF10_08	0.337899788612398	0.180653499693258	1.78318277604952	2.01376663805852	6.8	2.86220088092947	6.65801104587075	21.5	2	0.7
LF12_08	0.400117501781569	0.198850858745165	1.79463530285411	1.42581471976718	6.4	3.10458667846607	6.68085467879022	62	4	0
NF9_08	0.378436435720245	0.165514438477573	1.81025205388391	1.62281126712687	6.8	2.98061863574394	7.01929665371504	20.3	4	2.7
NF8_08	0.396087946295567	0.131028262406404	1.78318277604952	1.27752917704723	6.5	2.93562834948428	6.79799565698467	21.6666666666667	3	0
EF2_07	0.205386829724951	0.392042087776024	1.82251267210281	1.48929922541755	7.1	2.85070650150373	7.50988306115491	28.6	2	25
EF3_07	0.313349819200359	0.25386672395705	1.84107408442981	1.86997141564669	6.8	3.09104245335832	7.00850518208228	27.5	2	0.6
NF3_07	0.337899788612398	0.131028262406404	1.84874738954493	1.44972335625685	6.7	2.95863870752938	7.50960920109569	28.6	2.443	0
NF5_07	0.34500713907105	0.641853886172395	1.84496466149853	1.16913396375619	6.2	3.00594689591173	7.01996548187797	22.7431022727272	2.311	0
MSF3_08	0.172980049548251	0.568208070120614	1.81977727812087	1.42884568962479	7.31897545454548	2.65437355690576	7.06471811527398	57.0695746260686	2	0
MSF4_08	0.0769610411361284	0.371563556432483	1.84107408442981	0.707848296256166	7.6	2.39789527279837	6.17586727010576	11	2	0
MSF5_08	0.0758088905723439	0.510690401636877	1.8524277618845	1.54992780771055	7.36260842712844	2.34733834013454	6.8050125930753	32.3480668192918	2	2.1
MSF6_08	0.308294742882029	0.197483804533632	1.89015592184932	1.63232984974572	6.93333333333333	2.92673940206704	6.76772663437843	21.6666666666667	2	0.5
MSF8_08	0.132149443380718	0.606135803570315	1.84107408442981	1.56907584117895	7.65	2.52038103798166	7.03380038583279	16.6666666666667	2	0.3
MSF9_08	0.0705140306042235	0.692730427063603	1.7163798514468	1.53075626405677	7.64166666666667	2.38646657697475	8.32708136914722	69.8333333333333	3	6.2
MSF10_08	0.157538307779758	0.857248191240373	1.7254630513334	1.54625676205188	7.76666666666667	2.60884355101876	7.22086140377408	37.8333333333333	2	7.4
MSF12_08	0.353762373186131	0.232103292685682	1.74982404102648	1.65902647459216	6.93333333333333	3.00815479355255	6.76772663437843	18.9166666666667	2	1.6
LF1_08	0.262364264467491	0.29266961396282	1.80317806195738	2.0867061078886	7.1	2.73436750941958	6.8134445995109	21	2.349	0.7
LF3_08	0.0582689081239758	0.173953307123438	1.84107408442981	1.21774142063544	7.4	1.96009478404727	5.77144112313002	9	2.211	0
LF6_08	0.280657457514817	0.371563556432483	1.85950144744983	1.50262582325775	7.2	2.84490938381941	6.97634807044775	25.7	2.346	2.2
LF8_08	0.235843556833399	0.113328685307003	1.84874738954493	1.61413971763607	6.7	2.6732529057795	6.45828201216912	15.6957954545454	2	0.3
NF7_08	0.414755155015257	0.22314355131421	1.85950144744983	1.56673595961808	7	2.88013434880295	6.66907352850927	9	2	0
E24_08	0.207014169384326	1.12069988513211	1.7254630513334	1.84458055132664	7.9	2.94443897916644	7.55888183027947	83	2	0.6
E29_08	0.284426779731108	0.608678023933495	0.988201624705847	1.48338521013246	7.2	2.94443897916644	6.94793706861497	57.5	2	0
E6_08	0.211880359035499	0.585561969880008	1.0144542734439	1.569540031362	7.6	2.90142159408275	7.31887105859912	177.3	2	1
E9_08	0.108854404912082	0.352767319107715	1.35850472064663	1.90489038009058	7.4	2.52572864430826	6.78863384807427	40.5	3	0.1
E30_08	0.143624292728404	0.803067110138692	1.20937078612125	1.5965025161762	7.5212007733586	2.44877896310761	7.93937133251004	77.6140749999999	3	0.2
E31_08	0.217017995009902	0.598618431668466	0.899598192498245	1.6571227645934	7.29036183035715	2.74385080953871	7.45663229790012	82.3786104166665	3	11
E32_08	0.0989399478549036	1.04731899428056	1.56673595961808	1.84201796860939	7.9	2.87356463957978	7.30269855963072	96.2	3	1
E33_08	0.181456912263253	1.02337762648192	1.53248345167838	1.74907298240683	7.55658458333329	2.83514723491536	7.3244641605138	93.2442166666668	3	0.4
E19_07	0.211132483865233	0.117748368388814	1.68537049056349	1.59924994896325	6.6	2.61562776837479	6.31504568633147	14.7350272727273	2	0
E20_07	0.249201085633499	0.492306913181607	1.39736348117304	1.73830092140533	6.8	3.14415227867226	7.69666708152646	148.2	3	0
E21_07	0.155675297618921	0.640199771099513	1.71316370679795	1.49713245420213	7.45174570346323	2.56308276214356	7.03981692539198	56.7637031746033	2	0.5
E22_07	0.0657877405380032	1.19050755337237	1.7182404735814	1.94611225405374	7.8	2.61006979274201	8.21662849313344	34.3	2	0.3
E23_07	0.117783035656383	1.61128913952204	1.70329275882383	1.46190866355869	7.7	2.484906649788	9.06419258341752	198	2	0
E25_07	0.0726053696957071	0.286143398228076	1.53977945795227	1.49502909290419	7.3	2.28692737806177	6.35631805522808	19.1633340909091	2	2.7
E2_07	0.0944006754214843	0.585090969180605	1.62813101506716	1.88202918228461	8.1	2.56494935746154	7.2086003379602	63.5	2	1.2
E5_07	0.183986836113016	0.222476662326506	1.60347857350485	1.95157669345106	7.1	2.91777073208428	6.58063913728495	19.7	2	0.6
E7_07	0.291175961706037	0.457911618239135	1.73403132149329	1.27542336550374	7.1	2.8094026953625	6.60123011872888	53.8	2	0.2
E13_07	0.165514438477573	0.331698957868555	1.85601087126303	1.54142124691913	7.2	2.69462718077007	7.36581283720947	28	2	2.4
E15_07	0.114221144090023	0.416355411090485	1.84107408442981	1.59209254924061	7.3	2.43361335540045	6.70196036600254	14.5	2	0
E16_07	0.19638881400539	0.433099846007621	1.76544750680153	1.75953622422077	7.1	2.73436750941958	7.51032108131084	35.8	2	0.3
E17_07	0.234281295724666	0.200216046670505	1.67100103274163	1.92779982482568	7.1	2.85070650150373	6.70649552116793	15.2	2	0.2
H406_07	0.168898536461814	0.215111379616945	1.74831809719495	1.91072032262096	7	2.70805020110221	6.82001636467413	14	2	0
H2_07	0.138021297897375	0.165514438477573	1.77968319442862	1.54304789022132	6.5	1.98787434815435	5.88887795833288	5.9	2	0
H3_07	0.165514438477573	0.27763173659828	1.73732637840012	1.63797109561637	7.3	2.50143595173921	6.52795791762255	8.8	2	0.5
BDpf01_08	0.0880108773227134	0.3293037471426	1.91499389772618	1.81717490931703	7.4	1.75785791755237	5.96870755998537	5	2	0
BDpf02_08	0.151002873536527	0.285178942233662	1.87571036675847	1.69274578181589	7.4	2.11625551480255	5.35185813347607	19	2	0
BDpf04_08	0.193096629961913	0.231111720963387	1.87571036675847	1.54783948612284	7	2.17475172148416	5.44241771052179	15	3	0
BDpf05_08	0.213497174262404	0.157003748809665	1.85950144744983	1.41210505049429	6.7	2.37024374146786	6.15485809401642	29	2	1.4
BDpf06_08	0.183986836113016	0.300104592450338	1.81977727812087	1.29561498285121	6.8	2.94443897916644	7.1708884785125	71	3	1.9
BDpf08_08	0.0695260626486103	0.0870947068509337	1.9763847732858	0.689767361907301	6.8	1.56861591791385	4.87519732320115	6	2	0
(Bdpf09)_08	0.0732504617395927	0.157003748809665	1.9127139332708	1.97560786021002	7	1.56861591791385	4.87519732320115	7	2	0
BDpf10_08	0.0778865386570712	0.19062035960865	1.90316819723129	1.54678592405062	7.2	1.75785791755237	4.70953020131233	4	2	0
BDpf12_08	0.111541374732907	0.157003748809665	1.89015592184932	1.02063357620834	7	1.91692261218206	5.14166355650266	6	2	0
BDpf13_08	0.237440856015034	0.165514438477573	1.88167945212704	1.74039088453426	7	2.484906649788	5.56452040732269	31	3	0.1
BDpf14_08	0.169742774587095	0.122217632724249	1.92160025453555	1.66329448143758	6.9	2.02814824729229	5.44241771052179	28	3	0
BDpf16_08	0.274596832903125	0.139761942375159	1.83294514609533	1.04399756633448	6.4	2.70805020110221	5.70711026474888	17	3	0
BDpf17_08	0.408128225527648	0.350656871613169	1.68537049056349	1.6674511323509	7.1	3.17805383034795	6.06610809010375	57	3	0
BDpf18_08	0.171429115627531	0.157003748809665	1.59570923040387	1.64754067344858	7	2.29253475714054	5.52545293913178	17	3	0
BDpf19_08	0.313349819200359	0.139761942375159	1.02667203119905	1.93296722174773	6.7	2.94443897916644	5.96870755998537	37	3	0
BDpf21_08	0.0207825391825284	0.157003748809665	1.87571036675847	1.78282466651185	7	2.16332302566054	5.67332326717149	12	2	0
BDpf22_08	0.107059072293408	0.173953307123438	1.90802919925623	1.73878582172166	7.2	1.7227665977411	5.14166355650266	12	2	0
BDpf23_08	0.0582689081239758	0.148420005118273	1.85950144744983	1.86100913134138	7.3	1.30833281965018	4.79579054559674	5	2	0
BDpf24_08	0.294905917541101	0.0506931143155182	1.79463530285411	1.45416588781849	6.3	2.77258872223978	5.73979291217923	11	2	0
BDpf25_08	0.084341148433751	0.182321556793955	1.88739063097878	1.03257531961508	7.1	1.85629799036563	5.30330490805908	4	2	0
BDpf28_08	0.0815799869924228	0.173953307123438	1.73568790592766	1.58756448332165	7	2.18605127673809	5.9427993751267	17	3	0.5
BDpf29_08	0.112435429329788	0.207014169384326	1.66064037933481	1.70103337630981	7.1	2.17475172148416	5.67332326717149	14	3	0.5
