# Completeness from HSC GOLDRUSH I (https://arxiv.org/abs/1704.06004)
# Provided by Yoshiaki Ono
# Columns are differential UV magnitude in HSC z band
# Rows are redshift
# Entries are completeness C(m, z)
     -2.85  -2.35  -1.85  -1.35  -0.85  -0.35
4.9  0.000  0.000  0.000  0.000  0.000  0.000
5.0  0.000  0.000  0.000  0.000  0.000  0.000
5.1  0.000  0.000  0.000  0.000  0.000  0.000
5.2  0.000  0.000  0.000  0.000  0.000  0.000
5.3  0.000  0.000  0.000  0.000  0.000  0.000
5.4  0.000  0.000  0.000  0.000  0.000  0.000
5.5  0.000  0.000  0.000  0.000  0.000  0.000
5.6  0.107  0.162  0.155  0.148  0.020  0.000
5.7  0.501  0.467  0.428  0.365  0.047  0.000
5.8  0.458  0.545  0.517  0.414  0.066  0.000
5.9  0.501  0.515  0.520  0.380  0.092  0.006
6.0  0.502  0.536  0.455  0.422  0.110  0.000
6.1  0.523  0.434  0.508  0.413  0.156  0.006
6.2  0.023  0.079  0.081  0.192  0.136  0.013
6.3  0.000  0.000  0.000  0.000  0.004  0.000
6.4  0.000  0.000  0.000  0.000  0.000  0.000
6.5  0.000  0.000  0.000  0.000  0.000  0.000
6.6  0.000  0.000  0.000  0.000  0.000  0.000
