# Completeness from HSC GOLDRUSH I (https://arxiv.org/abs/1704.06004)
# Provided by Yoshiaki Ono
# Columns are differential UV magnitude in HSC y band
# Rows are redshift
# Entries are completeness C(m, z)
     -2.03  -1.53  -1.03  -0.53  -0.03
6.2  0.000  0.000  0.000  0.001  0.000
6.3  0.000  0.000  0.000  0.000  0.000
6.4  0.000  0.004  0.009  0.020  0.005
6.5  0.405  0.366  0.331  0.177  0.020
6.6  0.474  0.437  0.396  0.151  0.015
6.7  0.408  0.343  0.325  0.187  0.022
6.8  0.442  0.352  0.317  0.168  0.016
6.9  0.420  0.414  0.282  0.161  0.012
7.0  0.445  0.427  0.427  0.176  0.011
7.1  0.498  0.425  0.375  0.195  0.026
7.2  0.489  0.501  0.476  0.156  0.024
7.3  0.619  0.486  0.399  0.190  0.018
7.4  0.434  0.432  0.412  0.172  0.016
7.5  0.026  0.041  0.072  0.084  0.013
7.6  0.000  0.000  0.000  0.000  0.000
7.7  0.000  0.000  0.000  0.000  0.000
7.8  0.000  0.000  0.000  0.000  0.000
