# --------------------------------------------------------------------------------------------------------
# Contents:
# The different soil profiles of the Dutch Soil Map.
#
# Source:
# Download "Bodemkaart 1:50.000" at https://bodemdata.nl/basiskaarten. This file is a reduced version of the table "normalsoilprofiles" within "BRO-SGM-DownloadBodemkaart-V2024-01_1.gpkg"
#
# Date:
# 2025-08-05
# --------------------------------------------------------------------------------------------------------
normalsoilprofile_id,soilunit,name
1010,hVb,Koopveengronden op bosveen (of eutroof broekveen)
1020,ohVb,Koopveengronden op bosveen (of eutroof broekveen)
1030,hVs,Koopveengronden op veenmosveen
1040,hVsc,Koopveengronden op veenmosveen
1050,hVc,"Koopveengronden op zeggeveen, rietzeggeveen of (mesotroof) broekveen"
1060,hVk,"Koopveengronden op (meestal niet-gerijpte) zavel of klei, beginnend ondieper dan 1.2 m"
1070,hVz,"Koopveengronden op zand, beginnend ondieper dan 1.2 m"
1071,hVzc,"Koopveengronden op zand, beginnend ondieper dan 1.2 m"
1072,hVzx,"Koopveengronden op zand, beginnend ondieper dan 1.2 m"
1080,aVc,"Madeveengronden op zeggeveen, rietzeggeveen of broekveen"
1090,faVc,"Madeveengronden op zeggeveen, rietzeggeveen of broekveen"
1100,aVz,"Madeveengronden op zand zonder humuspodzol, beginnend ondieper dan 1.2 m"
1110,faVz,"Madeveengronden op zand zonder humuspodzol, beginnend ondieper dan 1.2 m"
1111,faVzt,"Madeveengronden op zand zonder humuspodzol, beginnend ondieper dan 1.2 m"
1120,aVp,"Madeveengronden op zand met humuspodzol, beginnend ondieper dan 1.2 m"
1130,pVb,Weideveengronden op bosveen (of eutroof broekveen)
1140,opVb,Weideveengronden op bosveen (of eutroof broekveen)
1150,pVs,Weideveengronden op veenmosveen
1160,opVc,"Weideveengronden op zeggeveen, rietzeggeveen of (mesotroof) broekveen"
1170,pVc,"Weideveengronden op zeggeveen, rietzeggeveen of (mesotroof) broekveen"
1180,pVz,"Weideveengronden op zand, beginnend ondieper dan 1.2 m"
1190,kVb,Waardveengronden op bosveen (of eutroof broekveen)
1200,kVs,Waardveengronden op veenmosveen
1210,kVsc,Waardveengronden op veenmosveen
1220,kVc,"Waardveengronden op zeggeveen, rietzeggeveen of (mesotroof) broekveen"
1225,kVc,"Waardveengronden op zeggeveen, rietzeggeveen of (mesotroof) broekveen"
1230,kVz,"Waardveengronden op zand, beginnend ondieper dan 1.2 m"
1235,kVz,"Waardveengronden op zand, beginnend ondieper dan 1.2 m"
1240,kVk,"Waardveengronden op (meestal niet-gerijpte) zavel of klei, beginnend ondieper dan 1.2 m"
1250,zVz,"Meerveengronden op zand zonder humuspodzol, beginnend ondieper dan 1.2 m"
1255,zVz,"Meerveengronden op zand zonder humuspodzol, beginnend ondieper dan 1.2 m"
1260,zVc,"Meerveengronden op zeggeveen, rietzeggeveen of broekveen"
1265,zVc,"Meerveengronden op zeggeveen, rietzeggeveen of broekveen"
1270,zVp,"Meerveengronden op zand met humuspodzol, beginnend ondieper dan 1.2 m"
1275,AVk,Veenafbraakgebied
1281,Vs,Vlierveengronden op veenmosveen
1282,Vs,Vlierveengronden op veenmosveen
1290,Vc,"Vlierveengronden op zeggeveen, rietzeggeveen of (mesotroof) broekveen"
1300,dVk,"Vlierveengronden op (meestal niet-gerijpte) zavel of klei, beginnend ondieper dan 1.2 m"
1310,Vz,"Vlierveengronden op zand zonder humuspodzol, beginnend ondieper dan 1.2 m"
1320,Vp,"Vlierveengronden op zand met humuspodzol, beginnend ondieper dan 1.2 m"
1330,iVc,"Veengronden met een veenkoloniaal dek op zeggeveen, rietzeggeveen of moerasbosveen"
1340,iVz,"Veengronden met een veenkoloniaal dek op zand zonder humuspodzol, beginnend ondieper dan 1.2 m"
1350,iVp,"Veengronden met een veenkoloniaal dek op zand met humuspodzol, beginnend ondieper dan 1.2 m"
2010,kWp,Moerige podzolgronden met een zavel- of een kleidek en een moerige tussenlaag
2015,kWp,Moerige podzolgronden met een zavel- of een kleidek en een moerige tussenlaag
2020,vWp,Moerige podzolgronden met een moerige bovengrond
2030,vWpx,Moerige podzolgronden met een moerige bovengrond
2040,zWp,Moerige podzolgronden met een humushoudend zanddek en een moerige tussenlaag
2050,zWpx,Moerige podzolgronden met een humushoudend zanddek en een moerige tussenlaag
2060,iWp,Moerige podzolgronden met een veenkoloniaal dek en een moerige tussenlaag
2070,iWpx,Moerige podzolgronden met een veenkoloniaal dek en een moerige tussenlaag
2080,Wo,Moerige eerdgronden met een moerige bovengrond of moerige tussenlaag op niet-gerijpte zavel of klei
2081,Wgl,Moerige eerdgronden met een moerige bovengrond of moerige tussenlaag op gerijpte zavel of klei
2090,Wol,Moerige eerdgronden met een moerige bovengrond of moerige tussenlaag op niet-gerijpte zavel of klei
2110,kWz,Moerige eerdgronden met een zavel- of kleidek en een moerige tussenlaag op zand
2115,kWz,Moerige eerdgronden met een zavel- of kleidek en een moerige tussenlaag op zand
