# Binance Spot Market Data v2.10.0
# Generated: 2025-10-03T22:57:10.556778+00:00Z
# Source: Binance Public Data Repository
# Market: SPOT | Symbol: ETHUSDT | Timeframe: 1h
# Coverage: 48 bars
# Period: 2025-10-01 00:00:00 to 2025-10-02 23:00:00
# Collection: direct_download in 0.0s
# Data Hash: ef66b09ccb39635e...
# Compliance: Zero-Magic-Numbers, Temporal-Integrity, Official-Binance-Source
#
date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-10-01 00:00:00,4145.15,4152.37,4124.12,4148.45,10304.5234,2025-10-01 00:59:59,42645719.141146,141314,4694.4236,19435027.771117
2025-10-01 01:00:00,4148.46,4174.63,4142.68,4171.33,12091.322,2025-10-01 01:59:59,50265932.527306,157708,7750.8488,32217297.837653
2025-10-01 02:00:00,4171.33,4171.33,4152.73,4152.96,10320.2922,2025-10-01 02:59:59,42952878.433961,120089,2538.7565,10566319.098281
2025-10-01 03:00:00,4152.95,4153.87,4128.19,4128.66,16014.5594,2025-10-01 03:59:59,66313214.893532,128615,5995.6716,24829065.885927
2025-10-01 04:00:00,4128.65,4156.61,4126.5,4140.38,9169.6518,2025-10-01 04:59:59,38016859.24608,138386,4438.2993,18402146.223437
2025-10-01 05:00:00,4140.38,4156.79,4140.06,4143.86,7324.7064,2025-10-01 05:59:59,30386665.61346,102868,2908.9551,12069093.809784
2025-10-01 06:00:00,4143.86,4146.54,4123.08,4126.26,13184.5623,2025-10-01 06:59:59,54523665.143667,134985,3828.0941,15831325.343564
2025-10-01 07:00:00,4126.27,4147.55,4125.0,4145.8,10744.1141,2025-10-01 07:59:59,44462404.179291,109366,4605.3248,19058559.029535
2025-10-01 08:00:00,4145.8,4329.0,4142.92,4291.23,106021.5206,2025-10-01 08:59:59,450920451.826791,518047,53264.1171,226527419.492093
2025-10-01 09:00:00,4291.24,4318.11,4280.06,4310.89,41593.3073,2025-10-01 09:59:59,178661691.068446,235189,20375.9554,87540285.38998
2025-10-01 10:00:00,4310.89,4312.65,4278.58,4282.62,16100.4439,2025-10-01 10:59:59,69152116.557558,145213,5426.8846,23305794.519236
2025-10-01 11:00:00,4282.62,4305.2,4282.62,4298.2,11218.6212,2025-10-01 11:59:59,48202154.77501,121374,5202.9387,22355808.218732
2025-10-01 12:00:00,4298.21,4314.0,4280.0,4284.39,16464.1678,2025-10-01 12:59:59,70740185.123739,186198,7539.8148,32403440.474197
2025-10-01 13:00:00,4284.39,4302.36,4280.0,4295.26,17469.4814,2025-10-01 13:59:59,74986368.749868,246826,7823.2628,33584085.691036
2025-10-01 14:00:00,4295.25,4340.6,4291.22,4323.95,43618.0926,2025-10-01 14:59:59,188344295.538976,369144,21480.1933,92769519.880863
2025-10-01 15:00:00,4323.95,4344.0,4314.43,4327.23,20347.5797,2025-10-01 15:59:59,88118242.897579,168169,9239.1402,40015576.49105
2025-10-01 16:00:00,4327.24,4340.0,4318.0,4324.57,39419.3342,2025-10-01 16:59:59,170756568.576998,209554,24546.7086,106328948.855202
2025-10-01 17:00:00,4324.56,4332.86,4288.64,4293.11,15322.7686,2025-10-01 17:59:59,66080748.310458,163972,7397.6089,31910922.281304
2025-10-01 18:00:00,4293.12,4318.28,4291.86,4308.35,11204.6744,2025-10-01 18:59:59,48266369.518848,111931,7239.0329,31186031.212863
2025-10-01 19:00:00,4308.35,4339.88,4305.98,4334.53,13601.6208,2025-10-01 19:59:59,58868830.820959,130381,8678.7805,37559601.981427
2025-10-01 20:00:00,4334.52,4337.32,4315.23,4334.63,12589.2588,2025-10-01 20:59:59,54477705.355556,75690,5656.9944,24478924.434378
2025-10-01 21:00:00,4334.64,4335.01,4287.5,4304.79,28731.1972,2025-10-01 21:59:59,123959607.872036,130576,13623.1562,58771666.434205
2025-10-01 22:00:00,4304.8,4329.41,4304.8,4312.96,8644.3356,2025-10-01 22:59:59,37310711.015078,122031,4447.1823,19196253.747964
2025-10-01 23:00:00,4312.96,4355.46,4310.8,4348.03,15526.2465,2025-10-01 23:59:59,67326585.184702,170855,8971.8446,38911715.02318
2025-10-02 00:00:00,4348.03,4380.87,4333.34,4335.15,37300.6072,2025-10-02 00:59:59,162630190.986045,361491,17454.2695,76133276.910481
2025-10-02 01:00:00,4335.15,4398.62,4332.73,4393.31,17942.073,2025-10-02 01:59:59,78420973.624559,210377,10748.2814,46964780.562916
2025-10-02 02:00:00,4393.31,4399.11,4366.37,4386.25,18839.9219,2025-10-02 02:59:59,82566732.858885,231249,8437.3006,36982984.904061
2025-10-02 03:00:00,4386.24,4398.4,4370.47,4376.3,26375.2025,2025-10-02 03:59:59,115748957.593737,154220,13546.2738,59451019.014232
2025-10-02 04:00:00,4376.3,4384.99,4358.26,4371.99,23005.7129,2025-10-02 04:59:59,100567208.91362,114164,12452.0801,54428854.699996
2025-10-02 05:00:00,4371.99,4397.0,4370.13,4384.02,13821.8017,2025-10-02 05:59:59,60563767.148231,114173,6900.4453,30230927.184978
2025-10-02 06:00:00,4384.01,4423.35,4373.07,4403.5,46579.4745,2025-10-02 06:59:59,204752530.353082,177502,26828.5508,117845730.732346
2025-10-02 07:00:00,4403.49,4409.56,4370.56,4375.78,16708.3214,2025-10-02 07:59:59,73374497.406375,118327,6373.0867,27998095.34433
2025-10-02 08:00:00,4375.77,4393.94,4369.32,4387.63,10736.7426,2025-10-02 08:59:59,47031057.044515,93601,4297.1337,18828197.864347
2025-10-02 09:00:00,4387.63,4395.78,4378.76,4391.59,5577.828,2025-10-02 09:59:59,24475271.921112,64906,2745.3325,12048526.372808
2025-10-02 10:00:00,4391.58,4395.98,4374.94,4379.82,8783.3637,2025-10-02 10:59:59,38497718.063189,88895,3810.7364,16702705.75724
2025-10-02 11:00:00,4379.82,4394.13,4371.82,4378.93,9980.6207,2025-10-02 11:59:59,43732831.850209,98225,3306.2274,14491602.835961
2025-10-02 12:00:00,4378.92,4407.37,4376.59,4406.02,13616.3728,2025-10-02 12:59:59,59811705.835131,117978,7396.2265,32502945.642744
2025-10-02 13:00:00,4406.03,4418.82,4379.38,4417.46,31830.4877,2025-10-02 13:59:59,140128537.711752,350662,14398.899,63397588.798841
2025-10-02 14:00:00,4417.45,4420.76,4367.32,4374.42,37907.3534,2025-10-02 14:59:59,166740103.877828,360199,17585.693,77381395.792904
2025-10-02 15:00:00,4374.42,4443.0,4335.74,4437.09,49100.8344,2025-10-02 15:59:59,215826290.81993,382746,27071.5826,119098724.783786
2025-10-02 16:00:00,4437.1,4470.0,4426.12,4448.4,39941.141,2025-10-02 16:59:59,177672704.035872,299513,22738.3151,101166692.496696
2025-10-02 17:00:00,4448.4,4478.1,4439.73,4466.31,24428.2286,2025-10-02 17:59:59,108972266.467101,213782,14600.121,65135691.246444
2025-10-02 18:00:00,4466.32,4497.0,4466.0,4487.3,24128.0713,2025-10-02 18:59:59,108175321.460348,181226,14146.7583,63425909.245529
2025-10-02 19:00:00,4487.3,4516.74,4484.54,4495.61,28126.7536,2025-10-02 19:59:59,126614173.868594,241615,16193.2306,72888324.566136
2025-10-02 20:00:00,4495.62,4497.87,4468.08,4491.46,12404.9837,2025-10-02 20:59:59,55618717.656093,144196,5474.5053,24550206.51051
2025-10-02 21:00:00,4491.45,4496.51,4468.02,4468.71,7902.6486,2025-10-02 21:59:59,35421248.83315,90590,3190.7724,14305623.270344
2025-10-02 22:00:00,4468.71,4485.09,4457.27,4464.13,11109.3059,2025-10-02 22:59:59,49635048.447897,138644,4221.0636,18864824.149903
2025-10-02 23:00:00,4464.14,4488.02,4462.97,4484.35,10263.306,2025-10-02 23:59:59,45933264.516391,92902,6197.1114,27737490.961888
