idx,conventional,JANAF
0,C,C1
1,H2,H2
2,He,He1
3,K,K1
4,N2,N2
5,Na,Na1
6,O2,O2
7,Ti,Ti1
8,V,V1
9,P,P1
10,S,S1
11,e-,e1-
12,CH,C1H1
13,CHN,C1H1N1
14,CHNO,C1H1N1O1
15,CHO,C1H1O1
16,CH2,C1H2
17,CH2O,C1H2O1
18,CH3,C1H3
19,CH4,C1H4
20,CKN,C1K1N1
21,CN,C1N1
22,CNNa,C1N1Na1
23,CNO,C1N1O1
24,CN2(CNN),C1N2(CNN)
25,CN2(NCN),C1N2(NCN)
26,CO,C1O1
27,CO2,C1O2
28,C2,C2
29,C2H,C2H1
30,C2H2,C2H2
31,C2H4,C2H4
32,C2H4O,C2H4O1
33,C2K2N2,C2K2N2
34,C2N,C2N1
35,C2N2,C2N2
36,C2N2Na2,C2N2Na2
37,C2O,C2O1
38,C3,C3
39,C3O2,C3O2
40,C4,C4
41,C4N2,C4N2
42,C5,C5
43,H,H1
44,HK,H1K1
45,HKO,H1K1O1
46,HN,H1N1
47,HNO,H1N1O1
48,HNO2(cis),H1N1O2(cis)
49,HNO2(trans),H1N1O2(trans)
50,HNO3,H1N1O3
51,HNa,H1Na1
52,HNaO,H1Na1O1
53,HO,H1O1
54,HO2,H1O2
55,H2K2O2,H2K2O2
56,H2N,H2N1
57,H2N2,H2N2
58,H2Na2O2,H2Na2O2
59,H2O,H2O1
60,H2O2,H2O2
61,H3N,H3N1
62,H4N2,H4N2
63,KO,K1O1
64,K2,K2
65,N,N1
66,NO,N1O1
67,NO2,N1O2
68,NO3,N1O3
69,N2O,N2O1
70,N2O3,N2O3
71,N2O4,N2O4
72,N2O5,N2O5
73,N3,N3
74,NaO,Na1O1
75,Na2,Na2
76,O,O1
77,O3,O3
78,NV,N1V1
79,OTi,O1Ti1
80,OV,O1V1
81,O2Ti,O2Ti1
82,O2V,O2V1
83,CHP,C1H1P1
84,COS,C1O1S1
85,CP,C1P1
86,CS,C1S1
87,CS2,C1S2
88,HP,H1P1
89,HS,H1S1
90,H2O4S,H2O4S1
91,H2P,H2P1
92,H2S,H2S1
93,H3P,H3P1
94,K2O4S,K2O4S1
95,NP,N1P1
96,NS,N1S1
97,Na2O4S,Na2O4S1
98,OP,O1P1
99,OS,O1S1
100,OS2,O1S2
101,O2P,O2P1
102,O2S,O2S1
103,O3S,O3S1
104,O6P4,O6P4
105,O10P4,O10P4
106,PS,P1S1
107,P2,P2
108,P4,P4
109,P4S3,P4S3
110,S2,S2
111,S3,S3
112,S4,S4
113,S5,S5
114,S6,S6
115,S7,S7
116,S8,S8
117,C+,C1+
118,C-,C1-
119,CH+,C1H1+
120,CHO+,C1H1O1+
121,CN+,C1N1+
122,CN-,C1N1-
123,CO2-,C1O2-
124,C2-,C2-
125,H+,H1+
126,H-,H1-
127,HKO+,H1K1O1+
128,HNaO+,H1Na1O1+
129,HO+,H1O1+
130,HO-,H1O1-
131,H2+,H2+
132,H2-,H2-
133,H3O+,H3O1+
134,He+,He1+
135,K+,K1+
136,K-,K1-
137,KO-,K1O1-
138,N+,N1+
139,N-,N1-
140,NO+,N1O1+
141,NO2-,N1O2-
142,N2+,N2+
143,N2-,N2-
144,N2O+,N2O1+
145,Na+,Na1+
146,Na-,Na1-
147,NaO-,Na1O1-
148,O+,O1+
149,O-,O1-
150,O2+,O2+
151,O2-,O2-
152,P+,P1+
153,P-,P1-
154,S+,S1+
155,S-,S1-
156,Ti+,Ti1+
157,Ti-,Ti1-
158,V+,V1+
159,V-,V1-
