# --------------------------------------------------------------------------------------------------------
# Contents:
# The hydraulic parameters of the Staring series blocks.
#
# Source:
# Download "Scripts clustering en bronbestanden" at https://www.wur.nl/nl/show/Bodemfysische-Eenhedenkaart-BOFEK2020.htm. This file can is a modified version of "StaringReeksPARS_2018.csv" at BOFEK2020_v1.0_scripts\1_CalcAllPars\Data.
#
# Date:
# 2025-08-05
# --------------------------------------------------------------------------------------------------------
staringseriesblock,wcres,wcsat,vgmalpha,vgmnpar,vgmlambda,ksatfit
101,0.02,0.42749391,0.02165898,1.73473668,0.98087016,31.22501566
102,0.02,0.43387803,0.02164487,1.34877009,7.20207718,83.24163508
103,0.02,0.44279037,0.0149925,1.50488028,0.13920935,19.07723673
104,0.02,0.46192638,0.01488005,1.39684954,0.29453599,34.88427629
105,0.01,0.38088059,0.04280723,1.80780022,0.02422689,63.6504027
106,0.01,0.38481561,0.02092272,1.24225002,-1.20013,104.103005
107,0,0.40058182,0.01834939,1.24827945,0.9520164,14.58232666
108,0.01,0.43265125,0.01047815,1.27799235,-1.91928931,3.00274059
109,0,0.42953862,0.00696387,1.26717854,-2.38705852,1.74758567
110,0.01,0.44811194,0.01283449,1.13525008,4.58051343,3.83228337
111,0.01,0.59128611,0.02162021,1.10669523,-5.54921646,6.30532049
112,0.01,0.52974855,0.01656167,1.09067067,-4.49358138,2.24589475
113,0.01,0.41608364,0.00836212,1.43702415,-1.35691308,29.83240784
114,0.01,0.41677442,0.00541049,1.30152771,-0.33492567,0.89502313
115,0.01,0.52845807,0.02373064,1.28234728,-1.47756447,87.45078892
116,0.01,0.78606073,0.02107196,1.27879843,-1.2209359,12.35724606
117,0,0.71862598,0.01906191,1.1366583,0.0001,4.48373535
118,0,0.76545233,0.0204683,1.15070881,0.0001,13.14456155
201,0.01,0.36584689,0.01598691,2.16275113,2.8679672,22.32215442
202,0.02,0.3870639,0.01608317,1.52441823,2.43966226,22.76175599
203,0.01,0.33981025,0.01724264,1.70339467,0.0001,12.36681012
204,0.01,0.36407401,0.01364178,1.48843957,2.17939707,25.81471467
205,0.01,0.3367005,0.03030449,2.88750186,0.07360004,17.41850374
206,0.01,0.33343415,0.01595936,1.28870487,-1.00974832,32.8338987
207,0.01,0.51312621,0.01198516,1.15301795,-2.01328903,37.55041952
208,0,0.45375142,0.01132406,1.34596812,-0.90382318,8.64086044
209,0,0.45824566,0.00971504,1.37578384,-1.01308296,3.76662698
210,0.01,0.47234331,0.01004814,1.24569139,-0.79295916,2.30006721
211,0,0.44361666,0.01431555,1.12600054,2.35713901,2.12243578
212,0.01,0.56070265,0.00881287,1.15812806,-3.17226476,1.07972884
213,0.01,0.573268,0.02785405,1.07995207,-6.09131057,9.68929074
214,0.01,0.39387829,0.00328777,1.61657253,0.51401193,2.49598427
215,0.01,0.41005808,0.00775624,1.28734271,0.0001,2.79125069
216,0,0.88924579,0.00971073,1.36357644,-0.66464707,1.46262444
217,0.01,0.84863548,0.01192909,1.27153561,-1.24929996,3.40200949
218,0.01,0.58027825,0.01265676,1.31617171,-0.78553413,35.95127916
