# --------------------------------------------------------------------------------------------------------
# Contents:
# Properties of the horizons of different soil profiles of the Dutch Soil Map.
#
# Source:
# Download "Bodemkaart 1:50.000" at https://bodemdata.nl/basiskaarten. This file is a modified version of the table "soilhorizon" within "BRO-SGM-DownloadBodemkaart-V2024-01_1.gpkg"
#
# Date:
# 2025-08-05
# --------------------------------------------------------------------------------------------------------
normalsoilprofile_id,layernumber,faohorizonnotation,ztop,zbottom,staringseriesblock,organicmattercontent,organicmattercontent10p,organicmattercontent90p,acidity,acidity10p,acidity90p,cnratio,peattype,calciccontent,fedith,loamcontent,loamcontent10p,loamcontent90p,lutitecontent,lutitecontent10p,lutitecontent90p,sandmedian,sandmedian10p,sandmedian90p,siltcontent,density
4160,1,Ah,0,0.08,105,6.8,2,12,3.2,2.9,4,24,,0,0.1,8,5,15,2,1,4,250,200,400,6,1.271
4160,2,Eu,0.08,0.15,205,2.3,0.5,5,3.3,3,4,24,,0,0.1,8,5,15,2,1,4,250,200,400,6,1.489
4160,3,Bhs,0.15,0.3,205,4.7,1,12,4.3,4,4.8,30,,0,0.3,8,5,15,2,1,4,250,200,400,6,1.397
4160,4,BCy,0.3,0.6,205,0.9,0.3,2,4.5,4,4.8,30,,0,0.3,6,5,15,2,1,4,250,200,400,4,1.551
4160,5,Cy,0.6,1.2,205,0.3,0.1,1,4.8,4,4.9,30,,0,0.2,6,5,15,2,1,4,250,200,400,4,1.578
4170,1,Aap,0,0.25,102,5,3,8,4.6,4,5,13,,0,0.2,12,6,18,3,2,4,160,130,200,9,1.391
4170,2,Ahb,0.25,0.35,102,4.7,3,8,4.4,4,5,18,,0,0.2,12,6,18,3,2,4,160,130,200,9,1.402
4170,3,Bhs,0.35,0.5,202,1.7,1,8,4.4,4,5,28,,0,0.3,12,6,18,3,2,4,170,130,200,9,1.595
10150,2,Cg1,0.25,0.5,203,0.8,0.2,2,4.8,4.6,5.2,20,,0,0.2,24,15,40,6,4,8,140,120,180,18,1.591
10150,3,Cg2,0.5,0.9,203,0.3,0.1,2,4.8,4.6,5.5,22,,0,0.2,22,15,35,5,4,10,160,130,180,17,1.632
10150,4,Cg,0.9,1.2,206,0.3,0.1,1,4.5,4,6,22,,0,0.2,35,25,45,16,15,30,170,150,180,19,1.55
10151,1,Ap,0,0.25,103,6.5,3,10,4.8,4.6,5.2,14,,0,0.2,28,15,40,6,4,8,140,120,180,22,1.294
10151,2,Cg1,0.25,0.5,203,0.8,0.2,2,4.8,4.6,5.2,20,,0,0.2,28,15,40,6,4,8,140,120,180,22,1.572
10151,3,Cg2,0.5,0.9,203,0.3,0.1,2,5,4.6,5.5,22,,0,0.2,22,10,35,5,4,8,140,120,180,17,1.623
10151,4,Cg,0.9,1.2,214,0.3,0.1,2,5.3,4.6,6,22,,0,0.2,70,45,85,12,6,18,120,100,150,58,1.589
10170,1,Ap,0,0.2,105,4,2,6,4.8,4.6,6,14,,0,0.2,12,8,16,3,2,6,250,200,400,9,1.355
10170,2,Cu,0.2,0.7,205,0.4,0.2,2,4.8,4.6,6,20,,0,0.2,12,8,16,3,2,6,250,200,400,9,1.563
10170,3,Cg,0.7,1.2,205,0.2,0.1,2,4.8,4.6,6,22,,0,0.2,8,6,16,2,2,6,250,200,400,6,1.58
90110186,1,Ap,0,0.2,102,2,1.5,4,4.7,4.5,5.2,14,,0,0.2,10,6,16,3,2,6,170,140,200,7,1.508
90110186,2,Cu,0.2,1.2,201,0.3,0.2,1,4.8,4.5,5.2,20,,0,0.2,8,6,16,2,2,6,170,140,200,6,1.671
90210186,1,Ah,0,0.08,101,3.5,1,8,3.5,3,4.2,25,,0,0.2,8,6,16,2,2,6,170,140,200,6,1.451
90210186,2,Cu1,0.08,0.4,201,0.3,0.2,1,4.6,3.6,5.2,25,,0,0.2,6,6,16,2,2,6,170,140,180,4,1.674
90210186,3,Cu2,0.4,1.2,201,0.3,0.2,1,4.8,4.4,5.2,20,,0,0.2,6,6,16,2,2,6,170,140,180,4,1.674
10186,1,Ah,0,0.08,101,3.5,1,8,3.5,3,4.2,25,,0,0.2,8,6,12,2,2,4,200,180,230,6,1.431
10186,2,Cu1,0.08,0.4,201,0.3,0.2,1,4.6,3.6,5.2,25,,0,0.2,6,4,12,2,2,4,200,180,230,4,1.648
10186,3,Cu2,0.4,1.2,201,0.2,0.1,1,5.4,4.8,6,20,,0,0.1,4,4,12,2,2,4,200,180,230,2,1.655
10182,1,Ah,0,0.08,101,3.5,1,8,3.5,3,4.2,25,,0,0.2,8,6,16,2,2,6,170,140,200,6,1.451
10182,2,Cu1,0.08,0.4,201,0.3,0.2,1,4.6,3.6,5.2,25,,0,0.2,6,6,16,2,2,6,170,140,180,4,1.674
10182,3,Cu2,0.4,1,201,0.3,0.2,1,4.8,4.4,5.2,20,,0,0.2,6,6,16,2,2,6,170,140,180,4,1.674
10182,4,Cu3,1,1.2,205,0.3,0.2,1,4.8,4.4,5.2,20,,0,0.2,6,6,16,2,2,6,290,200,400,4,1.516
10190,1,Apg,0,0.15,109,6,1,10,4.9,4.6,5.5,11,,0,0.3,35,20,60,20,8,30,170,150,180,15,1.268
2151,3,Ahb,0.3,0.45,207,5,2,10,5,4.5,5.5,22,,0,0.5,45,20,70,18,5,30,170,120,200,27,1.325
2151,4,Cu,0.45,0.9,201,0.3,0.1,4,5.7,4.5,6,22,,0,0.2,9,6,20,3,2,6,170,120,200,6,1.669
2151,5,Cu,0.9,1.2,207,0.3,0.1,2,6,4.5,6.5,22,,0,0.2,38,30,50,16,12,22,170,150,200,22,1.55
2160,1,Aap,0,0.2,115,15,5,30,4.8,4.2,5.3,24,verweerdZandrijk,0,0.8,13,8,20,4,2,8,140,130,180,9,0.64
2160,2,Cw,0.2,0.35,218,90,60,95,3.9,3.2,4.8,35,veenmosveen,0,0.5,10,8,20,4,2,8,140,130,180,6,0.169
2160,3,Ahb,0.35,0.5,203,8,5,15,4.7,4.2,5.2,24,,0,0.3,30,10,45,6,4,15,130,110,180,24,1.234
2160,4,Cu,0.5,1.2,202,0.4,0.1,6,4.7,4.2,5.2,24,,0,0.2,10,6,20,3,1,4,130,110,180,7,1.639
9013010,1,Ap,0,0.25,102,3,1.5,5,4.8,4.4,5.4,16,,0,0.3,12,8,16,4,3,6,160,140,200,8,1.466
9013010,2,Bw,0.25,0.4,202,1.3,0.4,3,4.6,4.2,5.2,18,,0,0.4,12,8,16,4,3,6,160,140,200,8,1.616
9013010,3,BCw,0.4,0.7,202,0.8,0.4,2,4.6,4,5,18,,0,0.4,12,6,16,3,2,6,160,140,200,9,1.64
9013010,4,Cu,0.7,1.2,202,0.5,0.2,1,4.6,4,5,22,,0,0.2,12,6,20,3,1,5,160,140,200,9,1.655
9023010,1,Ah,0,0.12,102,4,1.5,6,3.8,3.6,4.4,23,,0,0.3,12,8,16,4,3,6,160,140,200,8,1.428
9023010,2,Bw,0.12,0.35,202,1.9,0.4,4,4.4,3.8,4.8,27,,0,0.4,12,8,16,4,3,6,160,140,200,8,1.588
9023010,3,BCw,0.35,0.7,202,0.8,0.4,2,4.4,4,5,27,,0,0.4,12,6,16,3,2,6,160,140,200,9,1.64
9023010,4,Cu,0.7,1.2,202,0.5,0.2,1,4.6,4,5,22,,0,0.2,12,6,20,3,1,5,160,140,200,9,1.655
3011,1,Ah,0,0.12,102,4,1.5,6,3.8,3.6,4.4,23,,0,0.3,12,8,16,4,3,6,160,140,200,8,1.428
3011,2,Bw,0.12,0.35,202,1.9,0.4,4,4.4,3.8,4.8,27,,0,0.4,12,8,16,4,3,6,160,140,200,8,1.588
3011,3,BCw,0.35,0.7,202,0.8,0.4,2,4.4,4,5,27,,0,0.4,12,6,16,3,2,6,160,140,200,9,1.64
3011,4,Cu1,0.7,1,202,0.5,0.2,1,4.6,4,5,22,,0,0.2,12,6,20,3,1,5,160,140,200,9,1.655
3011,5,Cu2,1,1.2,205,0.5,0.2,1,4.6,4,5,22,,0,0.2,12,6,20,3,1,5,320,200,500,9,1.455
9013020,1,Ap,0,0.25,103,2.5,1.5,5,4.9,4.4,5.4,16,,0,0.3,20,14,35,6,4,8,155,130,180,14,1.466
9013020,2,Bw,0.25,0.4,203,0.9,0.4,3,4.6,4.2,5.2,18,,0,0.4,20,14,35,6,4,8,155,130,180,14,1.611
9013020,3,BCw,0.4,0.7,202,0.7,0.2,2,4.6,4.2,5.2,18,,0,0.4,16,8,30,4,3,8,155,130,180,12,1.634
9013020,4,Cu,0.7,1.2,202,0.3,0.1,1,4.6,4.2,5.2,22,,0,0.2,14,8,30,4,3,8,155,130,180,10,1.66
9023020,1,Ah,0,0.13,103,3.5,1.5,6,3.8,3.3,4.4,23,,0,0.3,20,14,35,6,4,10,155,130,180,14,1.427
9023020,2,Bw,0.13,0.35,203,1.6,0.4,4,4.4,3.8,4.8,27,,0,0.4,20,14,35,6,4,10,155,130,180,14,1.578
1120,3,Ab,0.6,0.75,202,8,5,15,4.2,3.5,4.4,22,,0,0.3,12,6,25,3,2,6,160,140,180,9,1.292
1120,4,BCb,0.75,0.9,202,3,1,10,4.5,4,5,22,,0,0.3,12,6,25,3,2,6,160,140,180,9,1.538
1120,5,Cu,0.9,1.2,201,0.5,0.2,5,4.7,4,5.2,22,,0,0.3,8,6,20,3,2,6,160,140,180,5,1.663
1130,1,Ahg,0,0.07,117,28,15,30,4.9,4.5,5.5,12,verweerdKleirijk,0,1.8,95,75,100,60,40,70,90,70,110,35,0.607
1130,2,ACg,0.07,0.2,213,15,10,30,5,4.5,5.5,12,,0,1.8,95,75,100,60,40,70,90,70,110,35,0.664
1130,3,Cwg,0.2,0.35,213,15,10,30,5,4.5,5.5,15,,0,1.3,95,75,100,68,40,75,90,70,110,27,0.261
1130,4,Cw,0.35,0.7,217,50,35,70,5.2,4.7,5.5,18,bosveen,0.1,1.1,95,80,100,60,30,80,110,90,130,35,0.265
1130,5,Cu,0.7,1.2,217,70,35,80,5.3,4.7,5.5,18,bosveen,0.1,1.1,95,80,100,60,30,80,110,90,130,35,0.238
