# --------------------------------------------------------------------------------------------------------
# Contents:
# For each soilprofile in the Dutch Soil Map the area and BOFEK2020 cluster number.
#
# Source:
# Download "Bodemfysische eenhedenkaart + tabel (N.B.: vereist dubbel uitpakken)" at https://www.wur.nl/nl/show/Bodemfysische-Eenhedenkaart-BOFEK2020.htm. This file can is a reduced version of "Clusterhoofden.xlsx" at BOFEK2020_GIS\BOFEK2020_GIS\GIS\BOFEK2020_bestanden\tabellen.
#
# Date:
# 2025-08-05
# --------------------------------------------------------------------------------------------------------
normalsoilprofile_id,area,cluster,dominant
1020,11878.09122,1001,0
1050,18683.70445,1001,1
1260,1312.180487,1001,0
1100,13742.20359,1002,1
1110,5310.601397,1002,0
1111,1154.603019,1002,0
1310,8449.906335,1002,0
1300,2968.056714,1003,1
1060,3155.458227,1004,1
1255,117.8634325,1005,0
1340,8298.973827,1005,1
1030,8279.842195,1006,0
1040,4184.480613,1006,0
1281,19402.45372,1006,1
1282,1433.863277,1006,0
1265,126.3554272,1007,0
1330,1005.607571,1007,1
1230,8869.215927,1008,1
1275,37.27272681,1009,1
1080,1626.138669,1010,0
1090,333.9602879,1010,0
1290,6468.260709,1010,1
1350,3687.634945,1011,1
1140,3688.287658,1012,0
1160,2608.718721,1012,0
1170,13127.68509,1012,1
1225,1818.977106,1012,0
1120,1282.66028,1013,0
1320,7070.230039,1013,1
1270,2718.325895,1014,1
1150,7752.473083,1015,0
1200,11003.91174,1015,1
1210,3642.877613,1015,0
1180,3457.934294,1016,1
1235,16.36000543,1016,0
1070,14171.2876,1017,1
1071,1578.826003,1017,0
1072,649.341909,1017,0
1250,6963.287571,1017,0
1010,14688.23825,1018,0
1130,16115.66328,1018,1
1190,10560.5267,1018,0
1220,15229.12082,1018,0
1240,3803.738307,1018,0
2040,17182.95282,2001,1
2050,3206.791374,2001,0
2120,13403.05834,2001,0
2121,895.7446333,2001,0
2125,1130.075381,2001,0
2060,21902.1923,2002,1
2070,2576.536236,2002,0
2080,7170.133432,2003,0
2081,8238.38506,2003,0
2090,8404.090404,2003,1
2015,454.2100167,2004,0
2115,852.3944047,2004,1
2010,8192.798734,2005,0
2110,8214.711831,2005,1
2030,2567.447931,2006,0
2130,24566.82778,2006,1
2140,2381.047636,2006,0
2151,1127.7966,2006,0
2160,13958.31867,2006,0
2020,17351.28409,2007,1
2131,936.6263981,2007,0
2150,1409.242986,2007,0
11021,1593.21753,3001,1
10080,14649.74291,3002,1
10081,2303.098261,3002,0
10090,8277.827766,3002,0
10121,1105.053075,3002,0
11030,7510.573099,3002,0
11031,1963.254417,3002,0
12020,3717.701135,3002,0
3030,36180.7962,3003,0
4160,38789.44514,3003,1
10260,7352.356246,3003,0
11060,3764.63088,3003,0
11061,888.017165,3003,0
9024080,3149.061105,3003,0
4060,3349.806947,3004,0
10070,9759.833263,3004,0
10071,2544.679097,3004,0
10130,27213.70143,3004,0
10200,9905.146714,3004,0
12010,3563.862909,3004,0
9023020,2006.88008,3004,0
9024050,49912.38748,3004,1
9034050,5907.645086,3004,0
90110280,3999.3219,3004,0
90210280,2772.217316,3004,0
8020,4947.00665,3005,0
8100,3833.800735,3005,0
11020,3665.550586,3005,0
9018040,6024.402337,3005,0
9018090,17415.59714,3005,0
9028040,15335.33383,3005,0
9028090,44261.74806,3005,1
3070,2520.460003,3006,0
8050,4356.694154,3006,0
8110,4413.9951,3006,0
10170,2969.594763,3006,0
10230,5410.288621,3006,0
10290,4054.694984,3006,0
9014080,6892.978052,3006,1
3040,2648.83107,3007,0
4100,4210.122591,3007,0
4170,2762.203737,3007,0
8010,2106.494038,3007,0
10014,1186.107822,3007,0
9014090,6185.33902,3007,0
9024090,47571.53486,3007,1
4031,8426.538211,3008,1
4111,958.533503,3008,0
10112,1053.542054,3008,0
3011,2259.874786,3009,0
4030,20098.02302,3009,1
4110,2205.993093,3009,0
10013,906.5381498,3009,0
9013010,1240.635311,3009,0
9023010,6011.084394,3009,0
90111040,4331.024052,3009,0
90211040,5419.364108,3009,0
10191,904.6928823,3010,1
10190,6406.271539,3011,1
10195,93.46748365,3011,0
10221,1031.908147,3011,0
8012,1317.029611,3012,0
8030,6961.704559,3012,0
8060,69863.98697,3012,1
8061,1289.107656,3012,0
8016,1038.138125,3013,0
8120,6115.6535,3013,1
10016,2926.601929,3013,0
10270,6996.693671,3014,0
11010,1618.224526,3014,0
9014020,20659.89781,3014,0
9034010,57354.25644,3014,1
90110186,8180.243777,3014,0
8070,3147.914699,3015,0
10010,14181.32098,3015,0
10012,2042.938049,3015,0
10110,32408.96992,3015,0
10111,7224.941736,3015,0
10211,1196.969954,3015,0
9014010,77748.25189,3015,0
9024010,186782.5653,3015,1
90111050,10471.80349,3015,0
4015,517.356693,3016,0
10040,8129.248597,3016,1
10140,3634.107531,3016,0
10210,3114.232235,3016,0
10281,941.6271284,3016,0
90310030,4416.658049,3016,0
10100,1918.044671,3017,1
8041,784.1142143,3018,0
8101,4024.523751,3018,1
4140,34912.11636,3019,0
4150,5894.218649,3019,0
10182,625.2890834,3019,0
10186,5039.488416,3019,0
10240,56392.86918,3019,1
10241,1609.850384,3019,0
10250,5239.165356,3019,0
10251,3011.609974,3019,0
11070,16219.23481,3019,0
11071,1186.736999,3019,0
9024020,5957.100738,3019,0
90210186,16018.79891,3019,0
90211050,15859.19401,3019,0
4071,6687.258877,3020,0
4131,2376.918378,3020,0
10061,9449.683392,3020,1
10072,1695.009994,3020,0
10151,4365.247302,3020,0
10201,1266.038472,3020,0
11051,2722.909711,3020,0
3050,3627.625818,3021,0
3060,2290.854985,3021,0
4070,53361.8041,3021,0
4121,818.7519219,3021,0
4130,19279.14608,3021,0
